 #bar  #source  #destination  #group
   1       1         2           1   
   2       1        11           2   
   3       1        20           3   
   4       1        21           4   
   5       1        40           5   
   6       2        3            6   
   7       2        11           7   
   8       2        12           8   
   9       2        20           9   
  10       2        22          10   
  11       3         4          11   
  12       3        12          12   
  13       3        13          13   
  14       3        23          14   
  15       4         5          15   
  16       4        13          16   
  17       4        14          17   
  18       4        24          18   
  19       5         6          19   
  20       5        14          20   
  21       5        15          21   
  22       5        25          22   
  23       6         7          23   
  24       6        15          24   
  25       6        16          25   
  26       6        26          26   
  27       7         8          27   
  28       7        16          28   
  29       7        17          29   
  30       7        27          30   
  31       8         9          31   
  32       8        17          32   
  33       8        18          33   
  34       8        28          34   
  35       9        10          35   
  36       9        18          36   
  37       9        19          37   
  38       9        29          38   
  39      10        19          39   
  40      10        30          40   
  41      11        21          41   
  42      11        22          42   
  43      12        22          43   
  44      12        23          44   
  45      13        23          45   
  46      13        24          46   
  47      14        24          47   
  48      14        25          48   
  49      15        25          49   
  50      15        26          50   
  51      16        26          51   
  52      16        27          52   
  53      17        27          53   
  54      17        28          54   
  55      18        28          55   
  56      18        29          56   
  57      19        29          57   
  58      19        30          58   
  59      20        40          59   
  60      21        22           1   
  61      21        31           2   
  62      21        40           3   
  63      21        41           4   
  64      21        60           5   
  65      22        23           6   
  66      22        31           7   
  67      22        32           8   
  68      22        40           9   
  69      22        42          10   
  70      23        24          11   
  71      23        32          12   
  72      23        33          13   
  73      23        43          14   
  74      24        25          15   
  75      24        33          16   
  76      24        34          17   
  77      24        44          18   
  78      25        26          19   
  79      25        34          20   
  80      25        35          21   
  81      25        45          22   
  82      26        27          23   
  83      26        35          24   
  84      26        36          25   
  85      26        46          26   
  86      27        28          27   
  87      27        36          28   
  88      27        37          29   
  89      27        47          30   
  90      28        29          31   
  91      28        37          32   
  92      28        38          33   
  93      28        48          34   
  94      29        30          35   
  95      29        38          36   
  96      29        39          37   
  97      29        49          38   
  98      30        39          39   
  99      30        50          40   
 100      31        41          41   
 101      31        42          42   
 102      32        42          43   
 103      32        43          44   
 104      33        43          45   
 105      33        44          46   
 106      34        44          47   
 107      34        45          48   
 108      35        45          49   
 109      35        46          50   
 110      36        46          51   
 111      36        47          52   
 112      37        47          53   
 113      37        48          54   
 114      38        48          55   
 115      38        49          56   
 116      39        49          57   
 117      39        50          58   
 118      40        60          59   
 119      41        42           1   
 120      41        51           2   
 121      41        60           3   
 122      41        61           4   
 123      41        80           5   
 124      42        43           6   
 125      42        51           7   
 126      42        52           8   
 127      42        60           9   
 128      42        62          10   
 129      43        44          11   
 130      43        52          12   
 131      43        53          13   
 132      43        63          14   
 133      44        45          15   
 134      44        53          16   
 135      44        54          17   
 136      44        64          18   
 137      45        46          19   
 138      45        54          20   
 139      45        55          21   
 140      45        65          22   
 141      46        47          23   
 142      46        55          24   
 143      46        56          25   
 144      46        66          26   
 145      47        48          27   
 146      47        56          28   
 147      47        57          29   
 148      47        67          30   
 149      48        49          31   
 150      48        57          32   
 151      48        58          33   
 152      48        68          34   
 153      49        50          35   
 154      49        58          36   
 155      49        59          37   
 156      49        69          38   
 157      50        59          39   
 158      50        70          40   
 159      51        61          41   
 160      51        62          42   
 161      52        62          43   
 162      52        63          44   
 163      53        63          45   
 164      53        64          46   
 165      54        64          47   
 166      54        65          48   
 167      55        65          49   
 168      55        66          50   
 169      56        66          51   
 170      56        67          52   
 171      57        67          53   
 172      57        68          54   
 173      58        68          55   
 174      58        69          56   
 175      59        69          57   
 176      59        70          58   
 177      60        80          59   
 178      61        62           1   
 179      61        71           2   
 180      61        80           3   
 181      61        81           4   
 182      61       100           5   
 183      62        63           6   
 184      62        71           7   
 185      62        72           8   
 186      62        80           9   
 187      62        82          10   
 188      63        64          11   
 189      63        72          12   
 190      63        73          13   
 191      63        83          14   
 192      64        65          15   
 193      64        73          16   
 194      64        74          17   
 195      64        84          18   
 196      65        66          19   
 197      65        74          20   
 198      65        75          21   
 199      65        85          22   
 200      66        67          23   
 201      66        75          24   
 202      66        76          25   
 203      66        86          26   
 204      67        68          27   
 205      67        76          28   
 206      67        77          29   
 207      67        87          30   
 208      68        69          31   
 209      68        77          32   
 210      68        78          33   
 211      68        88          34   
 212      69        70          35   
 213      69        78          36   
 214      69        79          37   
 215      69        89          38   
 216      70        79          39   
 217      70        90          40   
 218      71        81          41   
 219      71        82          42   
 220      72        82          43   
 221      72        83          44   
 222      73        83          45   
 223      73        84          46   
 224      74        84          47   
 225      74        85          48   
 226      75        85          49   
 227      75        86          50   
 228      76        86          51   
 229      76        87          52   
 230      77        87          53   
 231      77        88          54   
 232      78        88          55   
 233      78        89          56   
 234      79        89          57   
 235      79        90          58   
 236      80       100          59   
 237      81        82           1   
 238      81        91           2   
 239      81       100           3   
 240      81       101           4   
 241      81       120           5   
 242      82        83           6   
 243      82        91           7   
 244      82        92           8   
 245      82       100           9   
 246      82       102          10   
 247      83        84          11   
 248      83        92          12   
 249      83        93          13   
 250      83       103          14   
 251      84        85          15   
 252      84        93          16   
 253      84        94          17   
 254      84       104          18   
 255      85        86          19   
 256      85        94          20   
 257      85        95          21   
 258      85       105          22   
 259      86        87          23   
 260      86        95          24   
 261      86        96          25   
 262      86       106          26   
 263      87        88          27   
 264      87        96          28   
 265      87        97          29   
 266      87       107          30   
 267      88        89          31   
 268      88        97          32   
 269      88        98          33   
 270      88       108          34   
 271      89        90          35   
 272      89        98          36   
 273      89        99          37   
 274      89       109          38   
 275      90        99          39   
 276      90       110          40   
 277      91       101          41   
 278      91       102          42   
 279      92       102          43   
 280      92       103          44   
 281      93       103          45   
 282      93       104          46   
 283      94       104          47   
 284      94       105          48   
 285      95       105          49   
 286      95       106          50   
 287      96       106          51   
 288      96       107          52   
 289      97       107          53   
 290      97       108          54   
 291      98       108          55   
 292      98       109          56   
 293      99       109          57   
 294      99       110          58   
 295     100       120          59   
 296     101       102           1   
 297     101       111           2   
 298     101       120           3   
 299     101       121           4   
 300     101       140           5   
 301     102       103           6   
 302     102       111           7   
 303     102       112           8   
 304     102       120           9   
 305     102       122          10   
 306     103       104          11   
 307     103       112          12   
 308     103       113          13   
 309     103       123          14   
 310     104       105          15   
 311     104       113          16   
 312     104       114          17   
 313     104       124          18   
 314     105       106          19   
 315     105       114          20   
 316     105       115          21   
 317     105       125          22   
 318     106       107          23   
 319     106       115          24   
 320     106       116          25   
 321     106       126          26   
 322     107       108          27   
 323     107       116          28   
 324     107       117          29   
 325     107       127          30   
 326     108       109          31   
 327     108       117          32   
 328     108       118          33   
 329     108       128          34   
 330     109       110          35   
 331     109       118          36   
 332     109       119          37   
 333     109       129          38   
 334     110       119          39   
 335     110       130          40   
 336     111       121          41   
 337     111       122          42   
 338     112       122          43   
 339     112       123          44   
 340     113       123          45   
 341     113       124          46   
 342     114       124          47   
 343     114       125          48   
 344     115       125          49   
 345     115       126          50   
 346     116       126          51   
 347     116       127          52   
 348     117       127          53   
 349     117       128          54   
 350     118       128          55   
 351     118       129          56   
 352     119       129          57   
 353     119       130          58   
 354     120       140          59   
 355     121       122           1   
 356     121       131           2   
 357     121       140           3   
 358     121       141           4   
 359     121       160           5   
 360     122       123           6   
 361     122       131           7   
 362     122       132           8   
 363     122       140           9   
 364     122       142          10   
 365     123       124          11   
 366     123       132          12   
 367     123       133          13   
 368     123       143          14   
 369     124       125          15   
 370     124       133          16   
 371     124       134          17   
 372     124       144          18   
 373     125       126          19   
 374     125       134          20   
 375     125       135          21   
 376     125       145          22   
 377     126       127          23   
 378     126       135          24   
 379     126       136          25   
 380     126       146          26   
 381     127       128          27   
 382     127       136          28   
 383     127       137          29   
 384     127       147          30   
 385     128       129          31   
 386     128       137          32   
 387     128       138          33   
 388     128       148          34   
 389     129       130          35   
 390     129       138          36   
 391     129       139          37   
 392     129       149          38   
 393     130       139          39   
 394     130       150          40   
 395     131       141          41   
 396     131       142          42   
 397     132       142          43   
 398     132       143          44   
 399     133       143          45   
 400     133       144          46   
 401     134       144          47   
 402     134       145          48   
 403     135       145          49   
 404     135       146          50   
 405     136       146          51   
 406     136       147          52   
 407     137       147          53   
 408     137       148          54   
 409     138       148          55   
 410     138       149          56   
 411     139       149          57   
 412     139       150          58   
 413     140       160          59   
 414     141       142           1   
 415     141       151           2   
 416     141       160           3   
 417     141       161           4   
 418     141       180           5   
 419     142       143           6   
 420     142       151           7   
 421     142       152           8   
 422     142       160           9   
 423     142       162          10   
 424     143       144          11   
 425     143       152          12   
 426     143       153          13   
 427     143       163          14   
 428     144       145          15   
 429     144       153          16   
 430     144       154          17   
 431     144       164          18   
 432     145       146          19   
 433     145       154          20   
 434     145       155          21   
 435     145       165          22   
 436     146       147          23   
 437     146       155          24   
 438     146       156          25   
 439     146       166          26   
 440     147       148          27   
 441     147       156          28   
 442     147       157          29   
 443     147       167          30   
 444     148       149          31   
 445     148       157          32   
 446     148       158          33   
 447     148       168          34   
 448     149       150          35   
 449     149       158          36   
 450     149       159          37   
 451     149       169          38   
 452     150       159          39   
 453     150       170          40   
 454     151       161          41   
 455     151       162          42   
 456     152       162          43   
 457     152       163          44   
 458     153       163          45   
 459     153       164          46   
 460     154       164          47   
 461     154       165          48   
 462     155       165          49   
 463     155       166          50   
 464     156       166          51   
 465     156       167          52   
 466     157       167          53   
 467     157       168          54   
 468     158       168          55   
 469     158       169          56   
 470     159       169          57   
 471     159       170          58   
 472     160       180          59   
 473     161       162           1   
 474     161       171           2   
 475     161       180           3   
 476     161       181           4   
 477     161       200           5   
 478     162       163           6   
 479     162       171           7   
 480     162       172           8   
 481     162       180           9   
 482     162       182          10   
 483     163       164          11   
 484     163       172          12   
 485     163       173          13   
 486     163       183          14   
 487     164       165          15   
 488     164       173          16   
 489     164       174          17   
 490     164       184          18   
 491     165       166          19   
 492     165       174          20   
 493     165       175          21   
 494     165       185          22   
 495     166       167          23   
 496     166       175          24   
 497     166       176          25   
 498     166       186          26   
 499     167       168          27   
 500     167       176          28   
 501     167       177          29   
 502     167       187          30   
 503     168       169          31   
 504     168       177          32   
 505     168       178          33   
 506     168       188          34   
 507     169       170          35   
 508     169       178          36   
 509     169       179          37   
 510     169       189          38   
 511     170       179          39   
 512     170       190          40   
 513     171       181          41   
 514     171       182          42   
 515     172       182          43   
 516     172       183          44   
 517     173       183          45   
 518     173       184          46   
 519     174       184          47   
 520     174       185          48   
 521     175       185          49   
 522     175       186          50   
 523     176       186          51   
 524     176       187          52   
 525     177       187          53   
 526     177       188          54   
 527     178       188          55   
 528     178       189          56   
 529     179       189          57   
 530     179       190          58   
 531     180       200          59   
 532     181       182           1   
 533     181       191           2   
 534     181       200           3   
 535     181       201           4   
 536     181       220           5   
 537     182       183           6   
 538     182       191           7   
 539     182       192           8   
 540     182       200           9   
 541     182       202          10   
 542     183       184          11   
 543     183       192          12   
 544     183       193          13   
 545     183       203          14   
 546     184       185          15   
 547     184       193          16   
 548     184       194          17   
 549     184       204          18   
 550     185       186          19   
 551     185       194          20   
 552     185       195          21   
 553     185       205          22   
 554     186       187          23   
 555     186       195          24   
 556     186       196          25   
 557     186       206          26   
 558     187       188          27   
 559     187       196          28   
 560     187       197          29   
 561     187       207          30   
 562     188       189          31   
 563     188       197          32   
 564     188       198          33   
 565     188       208          34   
 566     189       190          35   
 567     189       198          36   
 568     189       199          37   
 569     189       209          38   
 570     190       199          39   
 571     190       210          40   
 572     191       201          41   
 573     191       202          42   
 574     192       202          43   
 575     192       203          44   
 576     193       203          45   
 577     193       204          46   
 578     194       204          47   
 579     194       205          48   
 580     195       205          49   
 581     195       206          50   
 582     196       206          51   
 583     196       207          52   
 584     197       207          53   
 585     197       208          54   
 586     198       208          55   
 587     198       209          56   
 588     199       209          57   
 589     199       210          58   
 590     200       220          59   
 591     201       202           1   
 592     201       211           2   
 593     201       220           3   
 594     201       221           4   
 595     201       240           5   
 596     202       203           6   
 597     202       211           7   
