#node     #x        #y       #z
  1    3.11810   0.00000  14.67230
  2    6.10130   0.00000  13.70310
  3    8.81660   0.00000  12.13540
  4   11.14760   0.00000  10.03650
  5   12.99040   0.00000   7.50000
  6   14.26570   0.00000   4.63580
  7   14.91790   0.00000   1.56760
  8   14.91790   0.00000  -1.56770
  9   14.26560   0.00000  -4.63590
 10   12.99030   0.00000  -7.50010
 11    4.57880   0.72521  14.26570
 12    7.40771   1.17327  12.99040
 13    9.91439   1.57028  11.14760
 14   11.98600   1.89840   8.81560
 15   13.53439   2.14364   6.10130
 16   14.49171   2.29526   3.11800
 17   14.81530   2.34651   0.00000
 18   14.49171   2.29526  -3.11810
 19   13.53430   2.14362  -6.10140
 20    3.11810   0.00000  13.70310
 21    2.96549   0.96355  14.67230
 22    5.80268   1.88541  13.70310
 23    8.38508   2.72448  12.13540
 24   10.60200   3.44480  10.03650
 25   12.35460   4.01425   7.50000
 26   13.56749   4.40834   4.63580
 27   14.18777   4.60988   1.56760
 28   14.18777   4.60988  -1.56770
 29   13.56739   4.40831  -4.63590
 30   12.35451   4.01422  -7.50010
 31    4.13059   2.10464  14.26570
 32    6.68259   3.40495  12.99040
 33    8.94390   4.55714  11.14760
 34   10.81273   5.50936   8.81560
 35   12.20955   6.22108   6.10130
 36   13.07316   6.66111   3.11800
 37   13.36507   6.80985   0.00000
 38   13.07316   6.66111  -3.11810
 39   12.20947   6.22103  -6.10140
 40    2.96549   0.96355  13.70310
 41    2.52260   1.83277  14.67230
 42    4.93606   3.58625  13.70310
 43    7.13278   5.18227  12.13540
 44    9.01860   6.55239  10.03650
 45   10.50945   7.63557   7.50000
 46   11.54119   8.38517   4.63580
 47   12.06883   8.76852   1.56760
 48   12.06883   8.76852  -1.56770
 49   11.54111   8.38511  -4.63590
 50   10.50937   7.63551  -7.50010
 51    3.27806   3.27806  14.26570
 52    5.30333   5.30333  12.99040
 53    7.09792   7.09792  11.14760
 54    8.58103   8.58103   8.81560
 55    9.68956   9.68956   6.10130
 56   10.37492  10.37492   3.11800
 57   10.60658  10.60658   0.00000
 58   10.37492  10.37492  -3.11810
 59    9.68949   9.68949  -6.10140
 60    2.52260   1.83277  13.70310
 61    1.83277   2.52260  14.67230
 62    3.58625   4.93606  13.70310
 63    5.18227   7.13278  12.13540
 64    6.55239   9.01860  10.03650
 65    7.63557  10.50945   7.50000
 66    8.38517  11.54119   4.63580
 67    8.76852  12.06883   1.56760
 68    8.76852  12.06883  -1.56770
 69    8.38511  11.54111  -4.63590
 70    7.63551  10.50937  -7.50010
 71    2.10464   4.13059  14.26570
 72    3.40495   6.68259  12.99040
 73    4.55714   8.94390  11.14760
 74    5.50936  10.81273   8.81560
 75    6.22108  12.20955   6.10130
 76    6.66111  13.07316   3.11800
 77    6.80985  13.36507   0.00000
 78    6.66111  13.07316  -3.11810
 79    6.22103  12.20947  -6.10140
 80    1.83277   2.52260  13.70310
 81    0.96355   2.96549  14.67230
 82    1.88541   5.80268  13.70310
 83    2.72448   8.38508  12.13540
 84    3.44480  10.60200  10.03650
 85    4.01425  12.35460   7.50000
 86    4.40834  13.56749   4.63580
 87    4.60988  14.18777   1.56760
 88    4.60988  14.18777  -1.56770
 89    4.40831  13.56739  -4.63590
 90    4.01422  12.35451  -7.50010
 91    0.72521   4.57880  14.26570
