 #bar     #source  #destination    #group
   1         1          2             1
   2         1          3             1
   3         1          4             1
   4         1          5             1
   5         1          6             1
   6         1          7             1
   7         1          8             1
   8         1          9             1
   9         1         10             1
  10         1         11             1
  11         1         12             1
  12         1         13             1
  13         2          3             2
  14         3          4             2
  15         4          5             2
  16         5          6             2
  17         6          7             2
  18         7          8             2
  19         8          9             2
  20         9         10             2
  21        10         11             2
  22        11         12             2
  23        12         13             2
  24        13          2             2
  25         2         14             3
  26         3         16             3
  27         4         18             3
  28         5         20             3
  29         6         22             3
  30         7         24             3
  31         8         26             3
  32         9         28             3
  33        10         30             3
  34        11         32             3
  35        12         34             3
  36        13         36             3
  37         2         15             4
  38         3         15             4
  39         3         17             4
  40         4         17             4
  41         4         19             4
  42         5         19             4
  43         5         21             4
  44         6         21             4
  45         6         23             4
  46         7         23             4
  47         7         25             4
  48         8         25             4
  49         8         27             4
  50         9         27             4
  51         9         29             4
  52        10         29             4
  53        10         31             4
  54        11         31             4
  55        11         33             4
  56        12         33             4
  57        12         35             4
  58        13         35             4
  59        13         37             4
  60         2         37             4
  61        14         15             5
  62        15         16             5
  63        16         17             5
  64        17         18             5
  65        18         19             5
  66        19         20             5
  67        20         21             5
  68        21         22             5
  69        22         23             5
  70        23         24             5
  71        24         25             5
  72        25         26             5
  73        26         27             5
  74        27         28             5
  75        28         29             5
  76        29         30             5
  77        30         31             5
  78        31         32             5
  79        32         33             5
  80        33         34             5
  81        34         35             5
  82        35         36             5
  83        36         37             5
  84        37         14             5
  85        14         38             6
  86        16         39             6
  87        18         40             6
  88        20         41             6
  89        22         42             6
  90        24         43             6
  91        26         44             6
  92        28         45             6
  93        30         46             6
  94        32         47             6
  95        34         48             6
  96        36         49             6
  97        15         38             7
  98        15         39             7
  99        17         39             7
  00        17         40             7
  01        19         40             7
  02        19         41             7
  03        21         41             7
  04        21         42             7
  05        23         42             7
  06        23         43             7
  07        25         43             7
  08        25         44             7
  09        27         44             7
  10        27         45             7
  11        29         45             7
  12        29         46             7
  13        31         46             7
  14        31         47             7
  15        33         47             7
  16        33         48             7
  17        35         48             7
  18        35         49             7
  19        37         49             7
  20        37         38             7
