#bar     #source  #destination  #group
  1        1           2          1
  2        2           3          1
  3        3           4          1
  4        4           5          1
  5        6           1          2
  6        7           1          6
  7        7           2          6
  8        8           2          2
  9        9           2          6
 10        9           3          6
 11       10           3          2
 12       11           3          6
 13       11           4          6
 14       12           4          2
 15       13           4          6
 16       13           5          6
 17       14           5          2
 18        6           7          4
 19        7           8          3
 20        8           9          3
 21        9          10          3
 22       10          11          3
 23       11          12          3
 24       12          13          3
 25       13          14          4
 26       15           6          5
 27       15           7          6
 28       16           7          6
 29       16           8          5
 30       16           9          6
 31       17           9          6
 32       17          10          5
 33       17          11          6
 34       18          11          6
 35       18          12          5
 36       18          13          6
 37       19          13          6
 38       19          14          5
 39       15          16          7
 40       16          17          7
 41       17          18          7
 42       18          19          7
 43       20          15          8
 44       21          15         11
 45       21          16         11
 46       22          16          8
 47       23          16         11
 48       23          17         11
 49       24          17          8
 50       25          17         11
 51       25          18         11
 52       26          18          8
 53       27          18         11
 54       27          19         11
 55       28          19          8
 56       20          21          4
 57       21          22          9
 58       22          23          9
 59       23          24          9
 60       24          25          9
 61       25          26          9
 62       26          27          9
 63       27          28          4
 64       29          20         10
 65       29          21         11
 66       30          21         11
 67       30          22         10
 68       30          23         11
 69       31          23         11
 70       31          24         10
 71       31          25         11
 72       32          25         11
 73       32          26         10
 74       32          27         11
 75       33          27         11
 76       33          28         10
 77       29          30         12
 78       30          31         12
 79       31          32         12
 80       32          33         12
 81       34          29         13
 82       35          29         16
 83       35          30         16
 84       36          30         13
 85       37          30         16
 86       37          31         16
 87       38          31         13
 88       39          31         16
 89       39          32         16
 90       40          32         13
 91       41          32         16
 92       41          33         16
 93       42          33         13
 94       34          35          4
 95       35          36         14
 96       36          37         14
 97       37          38         14
 98       38          39         14
 99       39          40         14
100       40          41         14
101       41          42          4
102       43          34         15
103       43          35         16
104       44          35         16
105       44          36         15
106       44          37         16
107       45          37         16
108       45          38         15
109       45          39         16
110       46          39         16
111       46          40         15
112       46          41         16
113       47          41         16
114       47          42         15
115       43          44         17
116       44          45         17
117       45          46         17
118       46          47         17
119       48          43         18
120       49          43         21
121       49          44         21
122       50          44         18
123       51          44         21
124       51          45         21
125       52          45         18
126       53          45         21
127       53          46         21
128       54          46         18
129       55          46         21
130       55          47         21
131       56          47         18
132       48          49          4
133       49          50         19
134       50          51         19
135       51          52         19
136       52          53         19
137       53          54         19
138       54          55         19
139       55          56          4
140       57          48         20
141       57          49         21
142       58          49         21
143       58          50         20
144       58          51         21
145       59          51         21
146       59          52         20
147       59          53         21
148       60          53         21
149       60          54         20
150       60          55         21
151       61          55         21
152       61          56         20
153       57          58         22
154       58          59         22
155       59          60         22
156       60          61         22
157       62          57         23
158       63          57         26
159       63          58         26
160       64          58         23
161       65          58         26
162       65          59         26
163       66          59         23
164       67          59         26
165       67          60         26
166       68          60         23
167       69          60         26
168       69          61         26
169       70          61         23
170       62          63          4
171       63          64         24
172       64          65         24
173       65          66         24
174       66          67         24
175       67          68         24
176       68          69         24
177       69          70          4
178       71          62         25
179       71          63         26
180       72          63         26
181       72          64         25
182       72          65         26
183       73          65         26
184       73          66         25
185       73          67         26
186       74          67         26
187       74          68         25
188       74          69         26
189       75          69         26
190       75          70         25
191       71          72         27
192       72          73         27
193       73          74         27
194       74          75         27
195       71          76         28
196       72          76         29
197       73          76         28
198       73          77         28
199       74          77         29
200       75          77         28
