#node   #x        #y       #z
  1   0.00000  45.72000  0.00000
  2   6.09600  45.72000  0.00000
  3  12.19200  45.72000  0.00000
  4  18.28800  45.72000  0.00000
  5  24.38400  45.72000  0.00000
  6   0.00000  42.06240  0.00000
  7   3.04800  42.06240  0.00000
  8   6.09600  42.06240  0.00000
  9   9.14400  42.06240  0.00000
 10  12.19200  42.06240  0.00000
 11  15.24000  42.06240  0.00000
 12  18.28800  42.06240  0.00000
 13  21.33600  42.06240  0.00000
 14  24.38400  42.06240  0.00000
 15   0.00000  38.40480  0.00000
 16   6.09600  38.40480  0.00000
 17  12.19200  38.40480  0.00000
 18  18.28800  38.40480  0.00000
 19  24.38400  38.40480  0.00000
 20   0.00000  34.74720  0.00000
 21   3.04800  34.74720  0.00000
 22   6.09600  34.74720  0.00000
 23   9.14400  34.74720  0.00000
 24  12.19200  34.74720  0.00000
 25  15.24000  34.74720  0.00000
 26  18.28800  34.74720  0.00000
 27  21.33600  34.74720  0.00000
 28  24.38400  34.74720  0.00000
 29   0.00000  31.08960  0.00000
 30   6.09600  31.08960  0.00000
 31  12.19200  31.08960  0.00000
 32  18.28800  31.08960  0.00000
 33  24.38400  31.08960  0.00000
 34   0.00000  27.43200  0.00000
 35   3.04800  27.43200  0.00000
 36   6.09600  27.43200  0.00000
 37   9.14400  27.43200  0.00000
 38  12.19200  27.43200  0.00000
 39  15.24000  27.43200  0.00000
 40  18.28800  27.43200  0.00000
 41  21.33600  27.43200  0.00000
 42  24.38400  27.43200  0.00000
 43   0.00000  23.77440  0.00000
 44   6.09600  23.77440  0.00000
 45  12.19200  23.77440  0.00000
 46  18.28800  23.77440  0.00000
 47  24.38400  23.77440  0.00000
 48   0.00000  20.11680  0.00000
 49   3.04800  20.11680  0.00000
 50   6.09600  20.11680  0.00000
 51   9.14400  20.11680  0.00000
 52  12.19200  20.11680  0.00000
 53  15.24000  20.11680  0.00000
 54  18.28800  20.11680  0.00000
 55  21.33600  20.11680  0.00000
 56  24.38400  20.11680  0.00000
 57   0.00000  16.45920  0.00000
 58   6.09600  16.45920  0.00000
 59  12.19200  16.45920  0.00000
 60  18.28800  16.45920  0.00000
 61  24.38400  16.45920  0.00000
 62   0.00000  12.80160  0.00000
 63   3.04800  12.80160  0.00000
 64   6.09600  12.80160  0.00000
 65   9.14400  12.80160  0.00000
 66  12.19200  12.80160  0.00000
 67  15.24000  12.80160  0.00000
 68  18.28800  12.80160  0.00000
 69  21.33600  12.80160  0.00000
 70  24.38400  12.80160  0.00000
 71   0.00000   9.14400  0.00000
 72   6.09600   9.14400  0.00000
 73  12.19200   9.14400  0.00000
 74  18.28800   9.14400  0.00000
 75  24.38400   9.14400  0.00000
 76   6.09600   0.00000  0.00000
 77  18.28800   0.00000  0.00000
