#bar  #source  #destination  #group
  1      1          2          1
  2      1          3          2
  3      1         10          3
  4      1         11          4
  5      2          3          5
  6      2         11          6
  7      3          4          7
  8      3         11          8
  9      3         12          9
 10      4          5         10
 11      4         12         11
 12      4         13         12
 13      5          6         13
 14      5         13         14
 15      5         14         15
 16      6          7         16
 17      6         14         17
 18      6         15         18
 19      7          8         19
 20      7         15         20
 21      7         16         21
 22      8          9         22
 23      8         16         23
 24      8         17         24
 25      9         17         25
 26     10         11          1
 27     10         12          2
 28     10         19          3
 29     10         20          4
 30     11         12          5
 31     11         20          6
 32     12         13          7
 33     12         20          8
 34     12         21          9
 35     13         14         10
 36     13         21         11
 37     13         22         12
 38     14         15         13
 39     14         22         14
 40     14         23         15
 41     15         16         16
 42     15         23         17
 43     15         24         18
 44     16         17         19
 45     16         24         20
 46     16         25         21
 47     17         18         22
 48     17         25         23
 49     17         26         24
 50     18         26         25
 51     19         20          1
 52     19         21          2
 53     19         28          3
 54     19         29          4
 55     20         21          5
 56     20         29          6
 57     21         22          7
 58     21         29          8
 59     21         30          9
 60     22         23         10
 61     22         30         11
 62     22         31         12
 63     23         24         13
 64     23         31         14
 65     23         32         15
 66     24         25         16
 67     24         32         17
 68     24         33         18
 69     25         26         19
 70     25         33         20
 71     25         34         21
 72     26         27         22
 73     26         34         23
 74     26         35         24
 75     27         35         25
 76     28         29          1
 77     28         30          2
 78     28         37          3
 79     28         38          4
 80     29         30          5
 81     29         38          6
 82     30         31          7
 83     30         38          8
 84     30         39          9
 85     31         32         10
 86     31         39         11
 87     31         40         12
 88     32         33         13
 89     32         40         14
 90     32         41         15
 91     33         34         16
 92     33         41         17
 93     33         42         18
 94     34         35         19
 95     34         42         20
 96     34         43         21
 97     35         36         22
 98     35         43         23
 99     35         44         24
100     36         44         25
101     37         38          1
102     37         39          2
103     37         46          3
104     37         47          4
105     38         39          5
106     38         47          6
107     39         40          7
108     39         47          8
109     39         48          9
110     40         41         10
111     40         48         11
112     40         49         12
113     41         42         13
114     41         49         14
115     41         50         15
116     42         43         16
117     42         50         17
118     42         51         18
119     43         44         19
120     43         51         20
121     43         52         21
122     44         45         22
123     44         52         23
124     44         53         24
125     45         53         25
126     46         47          1
127     46         48          2
128     46         55          3
129     46         56          4
130     47         48          5
131     47         56          6
132     48         49          7
133     48         56          8
134     48         57          9
135     49         50         10
136     49         57         11
137     49         58         12
138     50         51         13
139     50         58         14
140     50         59         15
141     51         52         16
142     51         59         17
143     51         60         18
144     52         53         19
145     52         60         20
146     52         61         21
147     53         54         22
148     53         61         23
149     53         62         24
150     54         62         25
151     55         56          1
152     55         57          2
153     55         64          3
154     55         65          4
155     56         57          5
156     56         65          6
157     57         58          7
158     57         65          8
159     57         66          9
160     58         59         10
161     58         66         11
162     58         67         12
163     59         60         13
164     59         67         14
165     59         68         15
166     60         61         16
167     60         68         17
168     60         69         18
169     61         62         19
170     61         69         20
171     61         70         21
172     62         63         22
173     62         70         23
174     62         71         24
175     63         71         25
176     64         65          1
177     64         66          2
178     64         73          3
179     64         74          4
180     65         66          5
181     65         74          6
182     66         67          7
183     66         74          8
184     66         75          9
185     67         68         10
186     67         75         11
187     67         76         12
188     68         69         13
189     68         76         14
