#node     #x         #y       #z
  1       0.0       0.0     6.096
  2     3.048       0.0     6.096
  3     3.048     3.048     6.096
  4       0.0     3.048     6.096
  5       0.0       0.0     4.572
  6     3.048       0.0     4.572
  7     3.048     3.048     4.572
  8       0.0     3.048     4.572
  9       0.0       0.0     3.048
 10     3.048       0.0     3.048
 11     3.048     3.048     3.048
 12       0.0     3.048     3.048
 13       0.0       0.0     1.524
 14     3.048       0.0     1.524
 15     3.048     3.048     1.524
 16       0.0     3.048     1.524
 17       0.0       0.0       0.0
 18     3.048       0.0       0.0
 19     3.048     3.048       0.0
 20       0.0     3.048       0.0
